estrutura,algoritmo,caso,tamanho,tempo_segundos,comparacoes,trocas
Array,Bubble Sort,Caso Medio,5000,2.196332800000164,12496870,6335330
Array,Selection Sort,Caso Medio,5000,1.0154697000000397,12497500,4992
Array,Insertion Sort,Caso Medio,5000,1.2149749999998676,6340317,6335330
Lista Ligada,Bubble Sort,Caso Medio,5000,4.8401642000001175,24815036,6335330
Lista Ligada,Selection Sort,Caso Medio,5000,1.0175615000000562,12497500,4992
Lista Ligada,Insertion Sort,Caso Medio,5000,0.9288566000000174,6167160,4999
Array,Bubble Sort,Caso Medio,10000,8.734997999999905,49979600,25231112
Array,Selection Sort,Caso Medio,10000,4.21133020000002,49995000,9996
Array,Insertion Sort,Caso Medio,10000,4.921026299999994,25241099,25231112
Lista Ligada,Bubble Sort,Caso Medio,10000,21.03037429999995,98230176,25231112
Lista Ligada,Selection Sort,Caso Medio,10000,4.775410899999997,49995000,9996
Lista Ligada,Insertion Sort,Caso Medio,10000,4.044848499999944,24773883,9999
Array,Bubble Sort,Caso Medio,50000,248.04700530000014,1249866655,626829140
Array,Selection Sort,Caso Medio,50000,106.40716030000021,1249975000,49984
Array,Insertion Sort,Caso Medio,50000,128.59489030000032,626879130,626829140
Lista Ligada,Bubble Sort,Caso Medio,50000,544.7332958999996,2476650466,626829140
Lista Ligada,Selection Sort,Caso Medio,50000,132.89355920000025,1249975000,49984
Lista Ligada,Insertion Sort,Caso Medio,50000,115.37236540000004,623195848,49999
